MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201812   ,04           ,486           ,4.378378378378379
201509   ,14           ,77            ,5.5
201907   ,08           ,130           ,4.6428571428571423
201904   ,05           ,402           ,4.6206896551724137
201809   ,16           ,32            ,3.5555555555555554
201907   ,07           ,54            ,4.1538461538461542
201811   ,15           ,20            ,5.0
201611   ,01           ,839           ,4.7942857142857145
201707   ,19           ,370           ,3.2743362831858405
201706   ,12           ,162           ,6.0
201711   ,15           ,14            ,2.3333333333333335
201709   ,06           ,85            ,3.541666666666667
201710   ,19           ,124           ,4.96
201804   ,14           ,50            ,6.25
201504   ,06           ,253           ,6.0238095238095246
201607   ,09           ,74            ,3.3636363636363633
201911   ,11           ,222           ,5.5499999999999989
201904   ,04           ,820           ,4.1836734693877551
201809   ,02           ,377           ,3.77
202001   ,13           ,124           ,4.1333333333333337
201912   ,10           ,20            ,6.6666666666666661
202005   ,19           ,288           ,4.1142857142857139
201708   ,13           ,89            ,3.8695652173913042
201711   ,10           ,40            ,6.666666666666667
201610   ,06           ,742           ,5.57894736842105
201503   ,10           ,87            ,4.8333333333333321
201506   ,12           ,67            ,5.583333333333333
201509   ,17           ,210           ,4.0384615384615392
201511   ,10           ,56            ,3.7333333333333334
201812   ,01           ,327           ,4.5416666666666661
201605   ,10           ,27            ,3.375
201807   ,11           ,341           ,4.3164556962025307
201908   ,13           ,140           ,5.6
201907   ,13           ,30            ,7.5
201809   ,17           ,131           ,5.0384615384615383
201911   ,16           ,22            ,5.5
202003   ,17           ,227           ,4.8297872340425538
201802   ,20           ,8             ,4.0
201504   ,05           ,1178          ,4.86776859504132
201601   ,19           ,124           ,4.7692307692307692
201505   ,18           ,24            ,4.8
201509   ,15           ,40            ,5.0
201910   ,09           ,231           ,7.4516129032258061
201806   ,19           ,82            ,4.3157894736842106
201907   ,09           ,349           ,6.584905660377359
201907   ,11           ,160           ,5.9259259259259256
201901   ,19           ,175           ,4.6052631578947372
